text,label,source,sentimiento_tabularis,calificacion_nlp_bert,sentimiento_robertuito
@user @user uno de nuestros festivales favoritos!! Hemos ido dos veces,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
no quiero q troye se haga famoso  q luego empiezan todas las de mi ciudad a mojabraguear 😡,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Mamá haciendo limpieza  Esto no sirve, esto botalo, etc. Máááá son mis peluches , ya estás grande, acá no hay bebes!",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user estaría a un paseo en tren de Madrid, y tendría findes largos cada dos semanas...",positive,intertass_2017,Neutral,Muy Negativo,Neutral
ponedme algo que triste soy,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user @user @user el.partido estaba pa Lugano,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user feliz sabado para ti tbm,a los tiempos entro al twitter y es agradable que a la primera persona que vea, sea a ti !!!",positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user Te tengo que recordar quien menciono a quien primero? Igual por tener sangre ferrolana eres mas lentita,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user la parte de acción se me hizo muy pesada. Pero los momentos bonitos son muy bonitos,neutral,intertass_2017,Neutral,Neutral,Neutral
@user @user Verónika es una gran actriz y sobretodo una maravillosa persona!! Deseando verla ahí!! Besos!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Quiero hacer un brindis Por menos personas hipócritas en el 2017,negative,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user Ninguno de los clubes lo hizo oficial pero se dice que sí,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user bienvenido al lugar en el que una bufanda nunca sobra,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Rivera y Rajoy no han pactado que Nivea vuelva a lanzar pelotas de playa desde una avioneta, como cuando era pequeño. Nos vemos el 25D",negative,intertass_2017,Negativo,Muy Negativo,Negativo
"Soy de esos que, aún cuando la comida esté lista y tenga hambre, si no me sirven me da pereza y no como",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Se nos está volviendo costumbre del domingo por la noche, ver el episodio anterior de SNL y eso me hace recibir el lunes en un mejor mood",positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user pero después de ducharme tampoco se queda así,negative,intertass_2017,Neutral,Muy Negativo,Neutral
"URGENTE!!! VENTA MY NAME TIKETS!!! Tengo dos tickets ULTIMATE VIP pero no podemos ir  los vendo más baratos, contactad conmigo!!!",neutral,intertass_2017,Neutral,Muy Positivo,Neutral
Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
"@user @user escríbele cosas bonitas, así no te va a dar ❤️",negative,intertass_2017,Positivo,Neutral,Neutral
@user @user o al menos pasad fuentes! Yo estoy viendo para reciclarme un poco,neutral,intertass_2017,Positivo,Neutral,Neutral
@user @user Tu no tienes familia con huerta y perros no? Los tienen en unas condiciones estupendas,positive,intertass_2017,Neutral,Muy Positivo,Positivo
Oye @user tiraros un descuentiyo asi del 40% aprox que quiero subir a bilbao y sale muy caro  todo sea por ser cliente fiel,negative,intertass_2017,Positivo,Muy Negativo,Negativo
¿y por qué con el morado o azul no pasa lo mismo? sería genial cagar de colores,neutral,intertass_2017,Muy Negativo,Neutral,Neutral
Listo. A empezar con las metas del año,positive,intertass_2017,Neutral,Neutral,Positivo
"@user hacia ti no   En fin, echán2te de menos, quiero ir a verteeee, seguro que me pones una excusa a mi tambien -_-",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
si mal no recuerdo creo este es el último capitulo dónde escucharemos a tanaka kazunari haciendo de ukai,neutral,intertass_2017,Muy Positivo,Neutral,Neutral
Amo los vestidos largos y los enterizos,positive,intertass_2017,Neutral,Muy Positivo,Positivo
"@user yo estoy igual, he dormido nada o menos... Y en una hora en marcha a currar",negative,intertass_2017,Neutral,Muy Negativo,Neutral
@user ahh no eso fijo... Pero en este caso en especifico hablo solamente de vestimenta,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"Hola @user gracias por la información, tomamos nota  Qué tengas un buen día",positive,intertass_2017,Positivo,Muy Positivo,Positivo
Que os peten el ojete,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user Como lo dijo @user, menores de 16 años",neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"@user Sí, lo que imaginaba. Todos los días se aprende algo nuevo, gracias",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"@user ay si, pero no puedo cambiar el username y soy un numero raro  aiuda",negative,intertass_2017,Muy Negativo,Neutral,Negativo
@user algunos callaos pa que no nos digan reventaores la Yihad!,neutral,intertass_2017,Positivo,Muy Negativo,Negativo
Ay qué bonito todo! Demasiado extraño no estar sufriendo a estas alturas Vamos Seleeeeee,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Otra vez quieren desnaturalizar el tema #BienestarAnimal, dejando en el texto de iniciativa popular sólo a perros y gatos.",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user mándame tu dirección postal a pdeveraoficial@yahoo.es para que pueda mandártelo, o habla con @user  Un besazo!",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
@user jajajaja si si. Buscaré en Pinterest algo así  gracias 😘,positive,intertass_2017,Neutral,Muy Negativo,Neutral
"En pleno 2016 ya no debería existir la siguiente conversación: Hola! -Hola Como estas? -Bien, vos? (Esa conversación q no pasa de ahí)",negative,intertass_2017,Neutral,Muy Negativo,Neutral
@user ah wno no es que me pase nada es que cuando el Hype está tan alto y se habla tanto tengo la sensación de que ya la he visto,neutral,intertass_2017,Neutral,Muy Negativo,Positivo
que feliz voy a ser a las 3,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Nota menta las felicitaciones automatizadas en LinkedIn cantan mucho cuando te llegan todas a la vez,negative,intertass_2017,Positivo,Muy Negativo,Neutral
Cuando todo es felicidad y falla un sector del disco de la laptop y se borran archivos muy importantes de la chamba,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
y el video de la campaña de este año del juego fue muy bueno pero no lo tengo,positive,intertass_2017,Positivo,Neutral,Neutral
Que dizque el debut de CM Punk en la UFC fue tan corto que puede entrar en un vídeo de Instagram. @user debe estar muy triste.,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user hombre pos claro. Lo dudabas?   Soy tortillero mayor del reino,neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
@user El Valencia siempre a dado excelentes jugadores tanto a la Selección como a otras selecciones.,positive,intertass_2017,Positivo,Muy Positivo,Positivo
Siento que estoy tan gordo que en cualquier momento romperé la silla de plástico,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
El verano pasado estaba ligerameeente más gordita y la ropa que compré ya no me queda igual,neutral,intertass_2017,Negativo,Negativo,Negativo
"@user justo cuando se terminan las fiestas de verano, me viene genial",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"@user ""surgen""  está el que se relaja con un plajo y el que nunca va a la caja pero farda de que saca un buen trabajo",negative,intertass_2017,Muy Negativo,Neutral,Negativo
"En una propuesta/solicitud de servicio lo que debe quedar muy claro son los ENTREGABLES. Si esto no está claro, habrá problemas.",neutral,intertass_2017,Neutral,Neutral,Neutral
11. siiii fue super gracioso teniamos que habernos sacado una foto,positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
"@user que va tío, aún no lo he probado",negative,intertass_2017,Neutral,Muy Negativo,Neutral
"@user aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a Rusia en breve",neutral,intertass_2017,Positivo,Muy Positivo,Positivo
Morí @user me dio like #Bombon,positive,intertass_2017,Positivo,Muy Negativo,Neutral
"Ayer más que nunca extrañé a mi amigo Rumors, teníamos la casi tradición ir a Zapote los 25 juntos.",negative,intertass_2017,Muy Positivo,Muy Negativo,Positivo
"@user eso es de Grammar 1, no de inglés 7! de Inglés 7 yo hice resumen el cuatri pasado",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"¡Buenos días! #YeimyTeMueve a partir de este momento. ""Escribí en tu corazón que cada día es el mejor del año…",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"""Contigo porque me matas y ahora sin ti ya no vivo"" -->Tal cual! Te mereces todo lo que has conseguido y conseguirás @user",negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
"@user y, según yo, miradas a los ojos que valen por mil (todo de manera independiente a la sustancia ""amor"")",neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
y ahors me puedo tirar como horas viendo videos de conciertos suyos pq me encanta como se mueve en el escenario y como todo de vd  mi niño,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
No se porque hay gente tan renegara donde dice que fue el peor año.. no solo lloraron TAMBIÉN FUERON FELICES,negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"@user Es que en el Ojeando el año pasado tampoco, tiene muchas canciones ya jajajajaja",neutral,intertass_2017,Neutral,Muy Negativo,Negativo
@user Aquí seguirá El Teide esperando tu próxima visita. Felicidades por la proeza,positive,intertass_2017,Positivo,Muy Positivo,Positivo
Todo era mejor en la playa,negative,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user el mismo de que sale el juego ppppppero la campa;a 30 dias antes de que salga osea el 5 de Octubre,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Hablando en serio, como no apruebe matemáticas me tiro desde la ventana de mi cuarto, que es un décimo y así no sobrevivo",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
En versión extendida. 4 horas. Y no vamos ni por la segunda,neutral,intertass_2017,Neutral,Muy Negativo,Negativo
"Cuando no puedo dormir, escribo todo lo que preocupa en una libreta que alguien me regaló y es como un somnífero instantáneo",positive,intertass_2017,Muy Positivo,Muy Positivo,Neutral
@user @user @user las de los usuarios? porque la verdad que SFV quita las ganas de jugar a los que somos mortales.,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user no se cual de los dos estaba más cansado. Y hasta aquí puedo leer...  #modoMayraGomezKempON,neutral,intertass_2017,Positivo,Muy Negativo,Negativo
"@user Ambas son mindblowing, lástima White Collar terminara así de repente, y esperando a la segunda par de la 5ta de Suits",positive,intertass_2017,Neutral,Muy Negativo,Neutral
"Ay, que ya he perdido el bus por primera vez este año",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user @user @user pero hombre, eso ya lo había leído  La pregunta es... ¿Cuál pretende ser el titular completo?",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user  -felicidades!!! 🎉 -sales genial en tu icon -no te conozco casi nada -,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user @user Soy un esclavo de fines de semana,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"→ ¡Ya lo sabes, sigue a @user en sus Redes Sociales! Excelente semana para todos",neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user me alegro mucho!! es importante darnos cuenta del gran valor que podemos aportar y encontrar nuestra misión,positive,intertass_2017,Positivo,Muy Positivo,Positivo
Y lo que se sabe no se preguntan para el dolor de muchos no soy pita soy SCORT  no cobro dos lochas ni doy culo gratis como muchos.,negative,intertass_2017,Negativo,Muy Negativo,Neutral
@user eso me lo decías hace un año y medio pero en otro contexto,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user @user ¡Qué bonito que nos recomiende un padre! Eu non falo moito o galego pero GRACIÑAS,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user yo tmbn me tienes abandonadisimo,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user @user si, desde aqui se te vé La Fosa de las Bermudas, clarito y con vegetacion",neutral,intertass_2017,Positivo,Muy Positivo,Neutral
@user no creas. Pero me gusta tener a la gente engañada  @user,positive,intertass_2017,Positivo,Muy Negativo,Neutral
"La vara es que ya tengo como 3 quiz, una eición, dos exámenes, un ensayo, y lo peor es que mis vacaciones ya casi acaban",negative,intertass_2017,Neutral,Negativo,Negativo
"@user @user @user sí, es usual en País Vasco y zonas limítrofes, pero no me cabía lo último en el tuit",neutral,intertass_2017,Neutral,Neutral,Neutral
"@user efectivamente  , un buena píldora viral muy ilustrativa.",positive,intertass_2017,Positivo,Positivo,Positivo
@user yo siempre deseo eso y cuando estoy libre;como hoy> ando desde temprano dando vueltas y sin sueño,negative,intertass_2017,Muy Positivo,Muy Positivo,Neutral
!Feliz año nuevo! este 2017 sea realmente un año muy lindo y maravilloso ^_^,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"De nuevo lo veo imposible con tanta mención @user #FollowSpree. Por favor, mi apoyo lo tienes siempre",positive,intertass_2017,Muy Negativo,Muy Negativo,Negativo
he soñado una cosa muy rara con los personajes de PLL y luego como que estaba en la real life y conocia a Shay y a Lucy y y y,negative,intertass_2017,Positivo,Negativo,Negativo
"@user @user @user Más bien imposible. A no ser q se convierta al Islam, claro",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user que bien yuriko. Felicidades,positive,intertass_2017,Positivo,Muy Positivo,Positivo
Y también dice caca solo que no me ha dado tiempo a grabarle,negative,intertass_2017,Neutral,Muy Negativo,Negativo
"@user yo tuve el pelo rojo … ._."" #YaChau …",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user dos para vos un gran abrazo homosexual 🤗,positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
@user hola odiosa me hace falta,negative,intertass_2017,Negativo,Muy Negativo,Negativo
@user jajaja claro como olvidarlo!ay ya quisiera pero llego a mi casa a las 10 11pm por mis clases y no puedo ni siquiera ver nada,neutral,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"VALE YA FUNCIONA ALELUYA he tenido que cambiar el boton de la palanza derecha, por el de la izquierda q estaba roto",positive,intertass_2017,Negativo,Muy Negativo,Neutral
@user estar un poco poseída nada más,negative,intertass_2017,Negativo,Neutral,Neutral
@user Sería un puntazo que te dieran los domingos de descanso o que trabajases de mañana y así tener la tarde libre para verlo,neutral,intertass_2017,Positivo,Muy Negativo,Positivo
@user Que linda y grande que está Holly,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Porque si estaba bien me tiene que dar calentura de nuevo ??,negative,intertass_2017,Muy Negativo,Neutral,Negativo
@user @user ta entonces me entendes porque no hablo chino amorrr,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"Estoy seguro de que todo va a salir bien, suerte viejita",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
a mi me llegas a poner los cuernos y posiblemente no vivas pa contarlo porque te arranco la puta cabeza,negative,intertass_2017,Negativo,Negativo,Negativo
Estoy toda estresada para el examen de mañana como que si lo fuese a perder jaja Pero ya pasé el curso y todo,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
mi espalda esta bien chicos no os preocupeis  P espero que el juicio sea lento y me libre de la carcel http,positive,intertass_2017,Positivo,Neutral,Positivo
"@user bueno,  es algo..  Cuando encima no sabes porque te pasan las cosas todo es un poco peor  lo dicho, muchos ánimos",negative,intertass_2017,Neutral,Neutral,Negativo
@user lo mejor que tengo es uno de 200 o así,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"@user Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!!",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user yo tengo que aguantar 4 niños pequeños, no sé que es peor",negative,intertass_2017,Positivo,Neutral,Negativo
Quiero y tengo que ir a ver animales fantásticos antes que salga de cartelera,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"@user Para ser un filler tiene bastante chicha... XDD, si es muy bueno entra al Olimpo con el Duel, los 2 mejores filler",positive,intertass_2017,Positivo,Neutral,Positivo
"@user bufeo a los bombarderos y que arreglen a los putos rammers que salen ilesos, si no no juego",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
En cuanto se vaya fabi no pienso salir de mi casa en por lo menos tres días,neutral,intertass_2017,Negativo,Muy Negativo,Negativo
"Hoy estoy muy feliz! Podre subir videos de nuevo, mi grabador ya no me da error Volvere con todo y con un super evento por los 1000",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user @user @user  ""Cosa Nostra"" en estado puro... Ni Don Vito llegó tan lejos...",negative,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user @user @user @user @user quiero un polo así,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
@user vas a ser un gran comunicador,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"El colmo de tener que madrugar y tardar en quedarte dormido, o perderte en los mundos de la lectura",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user Son las grandes promesas nuestras,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Espero que te guste  Escocia es precioso!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user tú norte, yo sur  - levante, humedad, mosquitos, caló azotado por levante pero al menos tienes playa...aquí no hay de eso",negative,intertass_2017,Neutral,Muy Negativo,Negativo
"Doght es amable,Doght es cariñoso,todos quieren un Doght,disponibles,en ninguna parte",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"Al parecer tu casita no es tan ""ita""...iSe ve divina chinita @user! Que felicidad por uds. - seguro Dormy tb está re feliz",positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
Ojala yo presentándome para el concurso de shawn pero como vergonzosa se nace y  seguro que no me dejan participar pues aqui estoy,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user me ha pasado algo similar te entiendo cariño,neutral,intertass_2017,Positivo,Neutral,Neutral
@user es que Nacho está haciendo una cadena graciosa,positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
@user la web que tenías para ver los pokemon que veian tus rastreadores ya no funciona? Que llevo dos días entrando y ya no va,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
alberto que tal por punta?,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"¡Hoy habrá nuevo campeón!, que pase lo que sea, que @user sea campeón o que @user pierda #CarlsenKarjakin",positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
"@user Es que se lee cada cosa , menos mal que a ese lo deje de seguir cuando terminó la temporada pasada .Mi salud es lo primero",negative,intertass_2017,Positivo,Neutral,Negativo
@user sí. Se desató una lluvia intensa y me empapó las únicas zapatillas que tenía y ahora ya no puedo salir a comprar comida,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
#EVDLV @user es el hombre perfecto,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user si lugar de incalculables arrochadas,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Aveces cuando leo sus tuits y no entiendo algo, me dan ganas de preguntarles para entender mejor. Pero soy tímido y me quedo con la duda",neutral,intertass_2017,Positivo,Negativo,Negativo
@user ya sabia yo que si,positive,intertass_2017,Neutral,Muy Negativo,Neutral
oir a @user  y a @user que haran directos del wow pero no se acuerdan que el server lo mas seguro ni que vaya  jaja,negative,intertass_2017,Neutral,Muy Negativo,Neutral
"@user jajajaa sii, aunque acabo en un año comunica y convalido mis 3 años de derecho, sumado a los electicos que iré llevando",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user pero si es preciosa,positive,intertass_2017,Neutral,Neutral,Positivo
en japonés no se escucha tanto,negative,intertass_2017,Negativo,Muy Negativo,Neutral
"Dice tu papá que esto pasará, dice tu mamá que tú me olvidarás... @user van 20 años, y el amor sigue intacto y será hasta la muerte",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"@user Bueno, me piro a la piscina , que hace un día estupendo",positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
"Confirmao tengo el pie roto, he notado como el puto hueso se movía",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user aw ! recién veo esto, sorrry ! tu pues me dices algo y luego queda en nada vamos hoy a la reu de mi prima? le dije a Mari",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
"@user @user hoy tocaba ir al del oeste, por cambiar. Sí, el cambio es a mejor",positive,intertass_2017,Neutral,Neutral,Positivo
"Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Yo quiero una rosa eterna,neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"Cada vez que escucho ""Instituciones"" de Sui Generis se me escarapela la piel por lo hermosa que es y también me acuerdo de ti",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
No puedo apoyar la planta del pie casi y tengo que irme a trabajar todo el dia enterito,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user Pero retomas y ya (y bueno, lo que dices, es mi razón para no ir a un gym, por eso prefiero entrenar en casa )",neutral,intertass_2017,Positivo,Negativo,Neutral
@user Ves quedándote con los sitios bonitos que hay que ver que en unos meses estoy yo por allí para el SSS,positive,intertass_2017,Positivo,Neutral,Positivo
@user y és una lastima porque tiene muy buenas ideas de diseño y al no pasar por Java rinden guay...pero MicroSoft y sus cosas,negative,intertass_2017,Neutral,Muy Negativo,Negativo
@user Denada y muy op lo del 6.16,neutral,intertass_2017,Neutral,Muy Negativo,Positivo
"Las eresiones mas comunes de un país, muestran su cultura, en Costa Rica es ""Pura Vida"" nada que pueda agregar",positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
Hoy nos tocó de últimos en el Festival Navideño de PZ y lloviendo. Adivinen cómo quedé.,negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
No me llamo Laura pero te casarias conmigo?  #ElRaboDe8cho @user,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
PPK hizo una mención especial a todos los jóvenes que marcharon anoche. La lucha no fue en vano. #MensajeALaNación #LaEducaciónSeRespeta,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
Lo que se enojó cuando le dije que me iva a ir a pachanga :v jajajajajaja lindo amiguito resultó ser,negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
@user ya no puedo tomar - cero alcohol- ayer estuve internada en la clínica como 6 horas.,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user querida, veo tu tuit ahora!!! No nos vimos, pero fluimos en un mismo sentir",positive,intertass_2017,Neutral,Muy Negativo,Positivo
"Ya es oficia nos quedamos sin Konoplyanka en @user   Eso sí, será una alternativa barata a Reus en la Bundes http",negative,intertass_2017,Positivo,Neutral,Negativo
@user @user Muy pero que muy bueno. Lo dejaron solo al pobre chaval en una batalla contra Afganistán,neutral,intertass_2017,Muy Positivo,Muy Positivo,Negativo
Bienvenida a los juegos mentales,positive,intertass_2017,Neutral,Positivo,Neutral
Siempre las mejores personas son las que más sufren  #GetWellSoonSelenaFromSpain,negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
Extraño tener a mis padres juntos,neutral,intertass_2017,Positivo,Muy Positivo,Negativo
"@user ya  Si algún día soy rica te llevo conmigo a verlo a donde sea, promesita 👉👈",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user ingrato, solo porque usted sí",negative,intertass_2017,Neutral,Neutral,Negativo
Sólo piensa q diste todo... y duermes tranquila,neutral,intertass_2017,Neutral,Muy Negativo,Positivo
Que bueno que le gustara @user @user,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Yo hasta ahora veo el vídeo del pingüino no lo puedo creer. ¿Es normal que esté tan triste? Díganme que ustedes también lloraron.,negative,intertass_2017,Neutral,Muy Negativo,Negativo
"@user mira el hilo, que está explicado  es el primer planeta (b) de la estrella Próxima Centaur Próxima Centauri b",neutral,intertass_2017,Muy Positivo,Neutral,Neutral
"@user que va tía, muchos son viejos de mi madre, otros del chino. Los que me encantan y me estoy comprando son los del Kiko",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Mi mejor amigo me quiere revender un cupón para un fds en un Hotel en Chincha. Qué, voy sola o qué? te pasaste de pendejo @user",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Al principio él no te gusta , pero te acaba gustando y cuando te deja lo extrañas",neutral,intertass_2017,Neutral,Positivo,Negativo
Una semana siendo vegetariano. Es un pequeño gran logro para mí,positive,intertass_2017,Positivo,Muy Positivo,Positivo
Luego la rara soy yo,negative,intertass_2017,Muy Positivo,Neutral,Negativo
@user perdida ya no tomo coca.,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user Muchas gracias  Muy feliz y dulce finde,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga,negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
@user hace una semana que se sabe  yo ya espero la edicion completa del juego,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
@user Tienes un buen KI. Para luchar contra los malos en Chicago PD.,positive,intertass_2017,Positivo,Positivo,Positivo
Estaba el autobús Benidorm-Madrid al lado con las puertas abiertas y me ha tentado subirme y volver.,negative,intertass_2017,Positivo,Muy Negativo,Negativo
hace mucho no e tenido que ver mi nombre en otras cuentas por que sera? a cierto yo le dije que no lo hiciera Gracias por hacer caso,neutral,intertass_2017,Muy Negativo,Negativo,Neutral
"@user Pues sí, es precioso como bien puedes ver en el vídeo",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"@user Hay que hacer algo contra los Incendios Forestales, ya basta, estamos jodidos.",negative,intertass_2017,Neutral,Muy Negativo,Negativo
necesito hacerme una sesión de fotos de estas en plan bonitas,neutral,intertass_2017,Neutral,Positivo,Neutral
"@user Jejeje te has explicado muy bien, tranqui, y si prefieres hablar por otro sitio, lo hacemos  Pues Sue la ""reservaron"" +",positive,intertass_2017,Positivo,Positivo,Positivo
sabes que tu vida es muy puta cuando empiezas las clases en menos de una semana,negative,intertass_2017,Muy Positivo,Negativo,Negativo
Pero solo cojo 5 días porque me cambio de curro y,neutral,intertass_2017,Neutral,Negativo,Neutral
"Mi palabra preferida para este 2016, fue gratitud. Todo funciona mejor agradeciendo.",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user A mi tampoco me va, bueno, te queda cerrar los ojos sin dormir o joderte y sufrir",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user si algún día quieres echar una ojeada al plan de transportes de Madrid de 1988 ya sabes,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"Hoy hice el gol de mi vida, perdimos 8-1 pero hice el gol de mi vida",positive,intertass_2017,Neutral,Muy Positivo,Positivo
#LaPoderosaKeiko solo puede tener poder en el 4to país más ignorante del mundo: Perú,negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"@user Monsefuana, tienes que configurar eso. Jajajaja. No se puede vivir en paz con el carrete lleno de memes. Te daré los tips.",neutral,intertass_2017,Negativo,Muy Negativo,Neutral
"Uno tiene que abrir burbuja #feliz sábado tuiteros..disfrutar del coctel maravilloso que sigue, la felicidad.",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user gracias, yo también estoy triste porque no te vi",negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
cual es su mejor recuerdo juntos? #BntResponde,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
"Se pone interesante la cosa, ganas de evolucionar para tener pokemon fuertes en casi todos los tipos",positive,intertass_2017,Positivo,Positivo,Positivo
Mae yo soy tan idiota que tome jarabe por que tenía mucha tos y ahora estoy como si estuviera borracha y no puedo estudiar,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
clrealy no es una indirecta,neutral,intertass_2017,Negativo,Muy Negativo,Neutral
